particle_count,timesteps,threads,sample,time
8000,10,12,3,0.901
8000,10,12,4,0.899
8000,10,12,5,0.891
8000,10,12,6,0.888
8000,10,12,7,0.873
8000,10,12,8,0.888
8000,10,12,9,0.909
8000,10,12,10,0.878
8000,10,12,11,0.923
8000,10,12,12,0.880
8000,10,12,13,0.909
8000,10,12,14,0.901
8000,10,12,15,0.869
8000,10,12,16,0.894
8000,10,12,17,0.883
8000,10,12,18,0.911
8000,10,12,19,0.884
8000,10,12,20,0.878
8000,10,12,21,0.914
8000,10,12,22,0.869
8000,10,12,23,0.942
8000,10,12,24,1.171
8000,10,12,25,0.897
8000,10,12,26,0.933
8000,10,12,27,0.870
8000,10,12,28,0.885
8000,10,12,29,0.886
8000,10,12,30,0.891
10000,10,1,1,4.870
10000,10,1,2,4.927
10000,10,1,3,4.926
10000,10,1,4,4.905
10000,10,1,5,4.876
10000,10,1,6,4.890
10000,10,1,7,4.887
10000,10,1,8,4.850
10000,10,1,9,4.881
10000,10,1,10,4.943
10000,10,1,11,4.888
10000,10,1,12,4.892
10000,10,1,13,4.888
10000,10,1,14,4.913
10000,10,1,15,4.881
10000,10,1,16,4.934
10000,10,1,17,4.919
10000,10,1,18,4.868
10000,10,1,19,4.885
10000,10,1,20,4.852
10000,10,1,21,4.881
10000,10,1,22,4.923
10000,10,1,23,4.885
10000,10,1,24,4.943
10000,10,1,25,4.901
10000,10,1,26,4.932
10000,10,1,27,4.907
10000,10,1,28,4.910
10000,10,1,29,4.859
10000,10,1,30,4.865
10000,10,2,1,2.654
10000,10,2,2,2.676
10000,10,2,3,2.642
10000,10,2,4,2.698
10000,10,2,5,2.656
10000,10,2,6,2.658
10000,10,2,7,2.657
10000,10,2,8,2.638
10000,10,2,9,2.635
10000,10,2,10,2.658
10000,10,2,11,2.675
10000,10,2,12,2.659
10000,10,2,13,2.649
10000,10,2,14,2.694
10000,10,2,15,2.655
10000,10,2,16,2.598
10000,10,2,17,2.667
10000,10,2,18,2.646
10000,10,2,19,2.674
10000,10,2,20,2.678
10000,10,2,21,2.646
10000,10,2,22,2.650
